Num_Epochs,accuracy,precision,recall,f1_score
1,0.879974898437758,0.0,0.0,0.0
2,0.8854245797139743,0.8602620087336245,0.05421023665382499,0.10199326947967902
3,0.8953000627539056,0.7045855379188712,0.21986791414419374,0.3351510067114094
4,0.901113056115203,0.7909090909090909,0.23940561364887178,0.36755386565272496
5,0.9024672193414143,0.7948051948051948,0.2526141992294992,0.3833785759031113
6,0.9018727086567362,0.9097651421508035,0.20253164556962025,0.3313076749943732
7,0.9026653895696404,0.8165898617511521,0.2438084755090809,0.3755032845941937
8,0.9030947583974634,0.7971137521222411,0.25839295542102364,0.39027431421446385
9,0.9035241272252865,0.8411483253588516,0.2418822234452394,0.3757213079717889
10,0.9037883541962546,0.929678188319428,0.21463951568519538,0.3487592219986586
11,0.9061333685635962,0.8203883495145631,0.279031370390754,0.4164271047227926
12,0.9061003401922251,0.8260511129431163,0.27572922399559713,0.4134516195584898
13,0.9068930211051293,0.8444632290786137,0.2749036873968079,0.41478098401494706
14,0.9072563331902104,0.8072916666666666,0.298569069895432,0.43591803937324225
15,0.9079169006176305,0.7991513437057991,0.3109521188772702,0.44770206022187004
16,0.9075205601611784,0.8299050632911392,0.28866263070996145,0.42833809718252347
17,0.9086765531591637,0.879475982532751,0.2771051183269125,0.4214270767943084
18,0.909601347557552,0.7940983606557377,0.333241607044579,0.46947082767978293
19,0.9088086666446478,0.8076109936575053,0.31535498073747936,0.4535919255887592
20,0.9089738085015028,0.8837412587412588,0.2782058337919648,0.4231896190874843
21,0.9113518512402153,0.8513313609467456,0.3167308750687947,0.461692739671079
22,0.9110876242692473,0.8226027397260274,0.33048981838194824,0.4715351393796623
23,0.9101298014994881,0.7876496534341525,0.3439735828288387,0.4788354721317755
24,0.9128711563232818,0.8276315789473684,0.34617501375894333,0.48816453240201785
25,0.910030716385375,0.8505392912172574,0.3037974683544304,0.44768856447688565
26,0.9130693265515077,0.826171875,0.3492019812878371,0.4909090909090909
27,0.9122766456386036,0.8548621190130624,0.32416070445789763,0.47007182761372707
28,0.9119463619248935,0.8098591549295775,0.34810126582278483,0.4869130100076982
29,0.9121775605244905,0.7992633517495396,0.35828288387451845,0.49477484324529736
30,0.9121445321531195,0.817470664928292,0.345074298293891,0.4852941176470589
31,0.9118142484394095,0.7489669421487604,0.39900935608145294,0.5206463195691202
35,0.9152491990619942,0.7849519743863393,0.40478811227297745,0.5341321713870734
40,0.9338441721438716,0.7820823244552058,0.6221794166208036,0.6930268199233716
45,0.9401856194471051,0.7578500707213579,0.7372041827187672,0.747384572464779
50,0.94002047759025,0.7858490566037736,0.6876719867914144,0.7334898737892573
